1016650,Våkemark,,59.13162,11.4190365
1016655,Grimsrødhøgda 40,,59.130532,11.4142578
1016660,Viklander,,59.1300901,11.4099968
1016665,Grimsrødhøgda 1,,59.1315861,11.4078121
1016670,Atomveien,,59.1335875,11.4069562
1016675,Blokkveien 28,,59.1357316,11.4051838
1016680,Blokkveien 18,,59.1369993,11.4051328
1016685,Blokkveien 2,,59.1405973,11.4053853
1016690,Næridsrød,,59.1400809,11.402709
1016695,Kokkehaugen,,59.1292384,11.4483027
1016700,Storholm,,59.1048246,11.4216716
1016705,Rød,,59.0997561,11.4246321
1016710,Solli,,59.0945943,11.4292091
1016715,Stomberg,,59.0916039,11.4300975
1016720,Idd kirke,,59.0864182,11.4354565
1016725,Nordby gård,,59.0844706,11.4453731
1016730,Totbybrakka,,59.0851361,11.457221
1016735,Bøklevene,,59.0778789,11.4642067
1016740,Herbøkassa,,59.0707944,11.47012
1016745,Aspedammen,,59.0614745,11.4796903
1016746,Elgklev,,59.0378147,11.574755
1016750,Aspedammen skole,,59.0592752,11.480526
1016755,Idretsplassen,,59.056454,11.4805318
1016760,Brekass,,59.0493917,11.4941303
1016765,Lundene,,59.0362515,11.5036894
1016770,Buer,,59.0188641,11.5167819
1016775,Stenersrød,,59.0057325,11.5248793
1016780,Bøkevangen,,58.9957627,11.529773
1016785,Bø,,59.0818548,11.435901
1016790,Havstad,,59.0766498,11.4235949
1016795,Furuvarp,,59.072276,11.4153295
1016800,Ysthede,,59.0692721,11.4135655
1016805,HV-huset,,59.0672072,11.4144499
1016810,Ystehedkrysset,,59.0798901,11.4367042
1016815,Iddevang,,59.0779134,11.4376636
1016820,Langholmen,,59.0660579,11.4355493
1016825,Snekketorp,,59.0650216,11.4352316
1016830,Fagerholt,,59.0593323,11.4320029
1016835,Prestenga,,59.048181,11.4287384
1016840,Sanderød,,59.0445369,11.4318985
1016845,Osdalen,,59.0374617,11.438354
1016850,Svenberg,,59.0351434,11.4378934
1016855,Liholt,,59.0287192,11.4445838
1016860,Liholt-Grinda,,59.0230484,11.4475268
1016865,Bakke,,59.0163614,11.4495604
1016870,Knekterød,,59.0079754,11.4625322
1016875,Brekke,,58.9997105,11.4827157
1016880,Folkeseth,,58.9963481,11.4935821
1016885,Søtholmen,,58.9841784,11.5160952
1016890,Prestebakke kirke,,58.9939743,11.5320966
1016895,Prestebakke,,58.9916526,11.5368704
1016900,Prestebakke skole,,58.9904184,11.540244
1016905,Paulsbo,,58.9506867,11.6013125
1016910,Bokerødkrysset,,58.9456423,11.6396358
1016913,Bokerødveien,,58.9802691,11.6419372
1016915,Kornsjø,,58.9413514,11.6600481
1016920,Tomasgården Kornsjø,,58.9374471,11.6676915
1016925,Riksgrensen,,58.9352142,11.6705262
1016930,Glende bro,,58.9763638,11.5099741
1016935,Vaglen gård,,58.9583648,11.516579
1016940,Bøen,,58.9551066,11.5164111
1016945,Signebøen,,58.9431382,11.517834
1016950,Bråtorp,,58.9302913,11.5205301
1016955,Svingen Enningdalen,,58.9120618,11.5227969
1016960,Søndre Enningdalen kapell,,58.9081094,11.5209109
1016965,Holtet,,58.8791012,11.5344859
1017035,Demmene,,59.2092049,11.2917647
1017040,Vesttorp,,59.199079,11.2984418
1017045,Nygårdskrysset,,59.1935752,11.3220093
1017050,Fjerdingsveien,,59.1911559,11.3331914
1017055,Eng Halden,,59.1899101,11.3390245
1017060,Fjeldstad,,59.1883596,11.3462895
1017065,Tre-Furuer,,59.1843703,11.3577277
1017070,Mjølnerød,,59.1745717,11.3763044
1017075,Rahaugen,,59.1722456,11.3806755
1017080,Tolvehaugen,,59.1610418,11.3753131
1017085,Monkebro,,59.1571923,11.3775126
1017090,Grønnerød,,59.1528092,11.377943
1017095,Lerdal,,59.149332,11.3789434
1017100,Lerdalsveien,,59.1458849,11.3787915
1017105,Watvedtveien,,59.1435738,11.3808693
